,country,title,variety,winery,price,year
306,0,Cramele Recas 2009 Chardonnay (Recas),0,0,7.0,2009
723,1,Messias 2015 Santola White (Vinho Verde),1,1,8.0,2015
718,1,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),1,2,8.0,2015
726,1,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),2,3,9.0,2015
383,2,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),0,4,9.0,2001
819,3,Mont Gravet 2013 Colombard (Côtes de Gascogne),3,5,9.0,2013
746,4,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),4,6,9.0,2015
76,5,Schmitt Söhne 2015 Riesling (Rheinhessen),5,7,9.0,2015
921,1,Falua 2015 Conde Vimioso Colheita Seleccionada Branco White (Tejo),1,8,9.0,2015
44,6,Sundance 2011 Merlot (Maule Valley),6,9,9.0,2011
42,3,Henry Fessy 2012 Nouveau  (Beaujolais),7,10,9.0,2012
240,3,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),8,11,9.0,2007
966,7,Kono 2008 Sauvignon Blanc (Marlborough),9,12,9.0,2008
969,6,Morandé 2008 Pionero Carmenère (Maipo Valley),10,13,9.0,2008
767,8,Manyana 2008 Tempranillo (Cariñena),11,14,9.0,2008
741,3,Patriarche Père et Fils 2014  Coteaux Bourguignons,12,15,10.0,2014
138,3,Dopff & Irion 2008 Crustacés White (Alsace),13,16,10.0,2008
234,2,Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),14,17,10.0,2007
231,9,Andean Sky 2007 Bonarda (Mendoza),15,18,10.0,2007
824,10,Stomping Ground 2010 Merlot (California),6,19,10.0,2010
85,5,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),5,20,10.0,2015
841,10,Leaping Horse 2013 Chardonnay (California),0,21,10.0,2013
763,8,Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda),16,22,10.0,2010
729,1,Herdade Grande 2015 Audaz Branco White (Alentejano),1,23,10.0,2015
731,3,Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France),0,25,10.0,2014
903,5,Bex 2014 Riesling (Nahe),5,26,10.0,2014
979,3,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),9,27,10.0,2008
372,2,Gini 2002 Classico  (Soave),18,28,10.0,2002
967,6,Santa Ema 2008 Selected Terroir Chardonnay (Casablanca Valley),0,29,10.0,2008
981,3,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),9,30,10.0,2007
