,country,title,variety,winery,price,year
306,9.5,Cramele Recas 2009 Chardonnay (Recas),3298.0,0,7.0,2009
723,24.17241379310345,Messias 2015 Santola White (Vinho Verde),202.0,1,8.0,2015
718,24.17241379310345,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),202.0,2,8.0,2015
726,24.17241379310345,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),493.0,3,9.0,2015
383,32.2972972972973,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),3298.0,4,9.0,2001
819,42.0,Mont Gravet 2013 Colombard (Côtes de Gascogne),9.0,5,9.0,2013
746,47.16,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),60.0,6,9.0,2015
76,79.0,Schmitt Söhne 2015 Riesling (Rheinhessen),2244.0,7,9.0,2015
921,24.17241379310345,Falua 2015 Conde Vimioso Colheita Seleccionada Branco White (Tejo),202.0,8,9.0,2015
44,17.575,Sundance 2011 Merlot (Maule Valley),525.0,9,9.0,2011
42,42.0,Henry Fessy 2012 Nouveau  (Beaujolais),172.0,10,9.0,2012
240,42.0,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),9.0,11,9.0,2007
966,37.75,Kono 2008 Sauvignon Blanc (Marlborough),605.0,12,9.0,2008
969,17.575,Morandé 2008 Pionero Carmenère (Maipo Valley),61.0,13,9.0,2008
767,26.029411764705884,Manyana 2008 Tempranillo (Cariñena),250.0,14,9.0,2008
741,42.0,Patriarche Père et Fils 2014  Coteaux Bourguignons,10.0,15,10.0,2014
138,42.0,Dopff & Irion 2008 Crustacés White (Alsace),75.0,16,10.0,2008
234,32.2972972972973,Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),10.0,17,10.0,2007
231,32.88235294117647,Andean Sky 2007 Bonarda (Mendoza),55.0,18,10.0,2007
824,39.18766066838046,Stomping Ground 2010 Merlot (California),525.0,19,10.0,2010
85,79.0,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),2244.0,20,10.0,2015
841,39.18766066838046,Leaping Horse 2013 Chardonnay (California),3298.0,21,10.0,2013
763,26.029411764705884,Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda),10.0,22,10.0,2010
729,24.17241379310345,Herdade Grande 2015 Audaz Branco White (Alentejano),202.0,23,10.0,2015
731,42.0,Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France),3298.0,25,10.0,2014
903,79.0,Bex 2014 Riesling (Nahe),2244.0,26,10.0,2014
979,42.0,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),605.0,27,10.0,2008
372,32.2972972972973,Gini 2002 Classico  (Soave),597.0,28,10.0,2002
967,17.575,Santa Ema 2008 Selected Terroir Chardonnay (Casablanca Valley),3298.0,29,10.0,2008
981,42.0,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),605.0,30,10.0,2007
754,26.029411764705884,El Coto 2010 Viura (Rioja),38.0,31,10.0,2010
367,17.575,De Martino 1999 Reserva de la Familia Carmenère (Maipo Valley),61.0,32,10.0,1999
27,32.2972972972973,Stemmari 2013 Nero d'Avola (Terre Siciliane),87.0,33,10.0,2013
500,26.029411764705884,El Coto 2011 Rosado Rosé (Rioja),493.0,31,11.0,2011
82,42.0,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),11.0,34,11.0,2016
368,32.2972972972973,Montresor 2001  Bianco di Custoza,68.0,35,11.0,2001
338,42.0,Mémoires 2015 Rosé (Coteaux Varois en Provence),493.0,36,11.0,2015
189,17.575,Emiliana 2008 Natura Chardonnay (Casablanca Valley),3298.0,37,11.0,2008
402,17.575,Viña Bisquertt 2007 Casa la Joya Reserve Syrah (Colchagua Valley),1212.0,39,11.0,2007
325,39.18766066838046,Lucas Vineyards 2007 Vignoles (Finger Lakes),11.0,40,11.0,2007
381,32.2972972972973,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),597.0,41,11.0,2000
393,17.575,San Pedro 2002 Castillo de Molina Reserva Chardonnay (Lontué Valley),3298.0,42,11.0,2002
768,47.16,McWilliam's Hanwood Estate 2008 Cabernet Sauvignon (South Eastern Australia),3878.0,43,11.0,2008
188,17.575,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),525.0,39,11.0,2007
963,42.0,Château Pavillon de Boyrein 2006  Graves,1244.0,44,11.0,2006
615,32.88235294117647,Tilia 2011 Malbec (Mendoza),899.0,45,11.0,2011
574,42.0,Château de Campuget 2016 Tradition Rosé (Costières de Nîmes),493.0,46,11.0,2016
38,32.2972972972973,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),59.0,47,11.0,2011
827,17.575,Terrapura 2012 Merlot (Curicó Valley),525.0,48,11.0,2012
380,17.575,Lapostolle 2002 Estate Bottled Merlot (Rapel Valley),525.0,49,12.0,2002
835,42.0,Georges Duboeuf 2013 Flower Label  (Beaujolais),172.0,50,12.0,2013
394,17.575,Undurraga 2001 Reserva Merlot (Maipo Valley),525.0,51,12.0,2001
786,24.17241379310345,Sobredos 2012 Aneto Tinto Red (Douro),360.0,52,12.0,2012
392,39.18766066838046,Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),605.0,53,12.0,2000
484,29.11111111111111,Ken Forrester 2011 Petit Chenin Blanc (Western Cape),113.0,54,12.0,2011
390,17.575,Casa Julia 2001 Reserve Cabernet Sauvignon (Maipo Valley),3878.0,55,12.0,2001
745,24.17241379310345,Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),12.0,56,12.0,2015
817,17.575,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley),525.0,57,12.0,2012
80,17.575,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),61.0,58,12.0,2014
494,39.18766066838046,Knapp 2011 Chardonnay (Finger Lakes),3298.0,59,12.0,2011
820,26.029411764705884,Navardia 2013 Made With Organic Grapes  (Rioja),136.0,60,12.0,2013
93,18.6,Fuchs 2015 Grüner Veltliner (Burgenland),157.0,61,12.0,2015
749,42.0,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),2244.0,62,12.0,2009
444,18.6,Eschenhof Holzer 2015 Altweingarten Grüner Veltliner (Wagram),157.0,63,12.0,2015
