,country,description,points,price,winery,variety,title
1,Portugal,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",87,15.0,Quinta dos Avidagos,Portuguese Red,Quinta dos Avidagos 2011 Avidagos Red (Douro)
2,US,"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",87,14.0,Rainstorm,Pinot Gris,Rainstorm 2013 Pinot Gris (Willamette Valley)
3,US,"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",87,13.0,St. Julian,Riesling,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)
4,US,"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",87,65.0,Sweet Cheeks,Pinot Noir,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)
5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",87,15.0,Tandem,Tempranillo-Merlot,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)
6,Italy,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",87,16.0,Terre di Giurfo,Frappato,Terre di Giurfo 2013 Belsito Frappato (Vittoria)
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",87,24.0,Trimbach,Gewürztraminer,Trimbach 2012 Gewurztraminer (Alsace)
8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",87,12.0,Heinz Eifel,Gewürztraminer,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)
9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,87,27.0,Jean-Baptiste Adam,Pinot Gris,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)
10,US,"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",87,19.0,Kirkland Signature,Cabernet Sauvignon,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)
